title,time,summary
Phó Thủ tướng Vương Đình Huệ: ‘Giải ngân vốn quyết...,"19:01, 20/04/2018","“Anh nào không quyết đoán được hay ôm hồ sơ, xử lý chậm phải gạt sang một bên để thay thế”, Phó Thủ tướng đặt ra yêu cầu tăng cường kỷ luật, kỷ cương hành chính trong thực hiện nhiệm vụ chi ngân sách Nhà nước khi làm việc với TP. Hà Nội."
DN Hàn Quốc tăng cường xúc tiến đầu tư tại Việt Nam,"20:15, 20/04/2018","Diễn đàn Kinh tế Việt Nam-Hàn Quốc với chủ đề ""Tìm hướng đi ngắn nhất tiếp cận thị trường Việt Nam và phương hướng hợp tác chiến lược"" được tổ chức tại TPHCM ngày 20/4 thu hút hơn..."
Vì sao tiếp cận tín dụng của Việt Nam dễ thứ 29 trên thế giới?,"19:49, 20/04/2018","Hệ thống ngân hàng Việt Nam khác với các ngân hàng trên thế giới khi đang phải gánh thêm cả nguồn lực mà đáng lẽ nguồn vốn phải giải quyết trên thị trường vốn. Dù vậy, theo đánh..."
"Bộ trưởng, Chủ nhiệm VPCP Mai Tiến Dũng làm việc với các DN Pháp","18:34, 20/04/2018","Sáng 19/4, tiếp tục chương trình công tác tại một số nước châu Âu, Bộ trưởng, Chủ nhiệm VPCP Mai Tiến Dũng và Đoàn công tác có buổi làm việc với ông Yves-Thibault de Silguy, Phó Chủ tịch..."
Luật Thuế Tài sản: Bộ Tài chính muốn nhận nhiều ý kiến đóng góp,"16:27, 20/04/2018","Đây là quan điểm được Bộ trưởng Bộ Tài chính Đinh Tiến Dũng khẳng định tại cuộc trao đổi với báo chí, được tổ chức ngày 20/4, nhằm chia sẻ thêm thông tin xung quanh việc xây dựng..."
NHNN thực hiện lời hứa với Thủ tướng,"16:23, 20/04/2018","Sau khi nghe lãnh đạo ngân hàng giải đáp, ông Tô Hiến Thành cảm thấy thỏa đáng đối với những giải thích của ngân hàng và mong muốn ngân hàng xem xét cho vay thêm 4 tỷ để..."
Miễn thuế hàng hóa nhập khẩu theo điều ước quốc tế,"16:13, 20/04/2018","Xét đề nghị của Bộ Tài chính về việc miễn thuế hàng hóa nhập khẩu theo điều ước quốc tế, Phó Thủ tướng Vương Đình Huệ đã đồng ý với đề nghị này."
HDBank được tăng 200 tỷ đồng vốn điều lệ,"16:00, 20/04/2018",Ngân hàng Nhà nước đã chấp thuận việc tăng vốn điều lệ của Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (HDBank) từ 9.809 tỷ đồng lên 10.009 tỷ đồng.
Thủ tướng đề nghị Samsung tiếp tục mở rộng đầu tư tại Việt Nam,"15:40, 20/04/2018","Chiều 20/4, tại trụ sở Chính phủ, Thủ tướng Nguyễn Xuân Phúc tiếp ông Dongjin Koh, Tổng Giám đốc điều hành Tập đoàn Samsung, Hàn Quốc đang thăm và làm việc tại Việt Nam."
Phó Thủ tướng yêu cầu đẩy mạnh giải ngân đầu tư công,"14:55, 20/04/2018","Trong quá trình Chính phủ sửa đổi, bổ sung pháp luật liên quan tới đầu tư công, đầu tư xây dựng thì các tỉnh, thành phố trực thuộc Trung ương cần chủ động rà soát, điều tra nguyên..."
Hoàn thiện thể chế để phát triển đầu tư xây dựng,"14:52, 20/04/2018","Phát biểu tại Hội nghị trực tuyến toàn quốc tháo gỡ khó khăn, vướng mắc về cơ chế, chính sách liên quan đến lĩnh vực đầu tư xây dựng sáng 20/4, Phó Thủ tướng Trịnh Đình Dũng yêu..."
